Routing table for Node Id 7 Time = 0 seconds
 Destination 	 Path 	 Cost
1 	7-5-1	10
2 	7-5-3-2	22
3 	7-5-3	11
4 	7-5-4	8
5 	7-5	5
6 	7-6	10
8 	7-5-8	17
9 	7-5-9	8
10 	7-5-1-10	12
Routing table for Node Id 7 Time = 380 seconds
 Destination 	 Path 	 Cost
0 	7-5-0	6
1 	7-5-1	6
2 	7-5-3-2	19
3 	7-5-3	8
4 	7-5-4	10
5 	7-5	4
6 	7-6	3
8 	7-5-8	16
9 	7-5-9	9
10 	7-5-1-10	10
Routing table for Node Id 7 Time = 400 seconds
 Destination 	 Path 	 Cost
0 	7-5-0	10
1 	7-5-1	13
2 	7-5-3-2	25
3 	7-5-3	12
4 	7-4	16
5 	7-5	8
6 	7-6	9
8 	7-5-8	19
9 	7-5-9	15
10 	7-5-1-10	17
Routing table for Node Id 7 Time = 420 seconds
 Destination 	 Path 	 Cost
0 	7-5-0	8
1 	7-5-1	8
2 	7-5-8-2	24
3 	7-5-3	14
4 	7-5-4	11
5 	7-5	6
6 	7-6	5
8 	7-5-8	16
9 	7-5-9	11
10 	7-5-1-10	12
Routing table for Node Id 7 Time = 440 seconds
 Destination 	 Path 	 Cost
0 	7-5-0	9
1 	7-6-1	11
2 	7-5-3-2	25
3 	7-5-3	14
4 	7-4	12
5 	7-5	7
6 	7-6	3
8 	7-5-8	22
9 	7-5-9	12
10 	7-6-1-10	15
Routing table for Node Id 7 Time = 460 seconds
 Destination 	 Path 	 Cost
0 	7-5-0	10
1 	7-5-1	13
2 	7-5-8-2	25
3 	7-5-3	15
4 	7-4	13
5 	7-5	8
6 	7-6	7
8 	7-5-8	18
9 	7-5-9	13
10 	7-5-1-10	17
