Routing table for Node Id 5 Time = 0 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	5
2 	5-2	47
3 	5-3	8
4 	5-4	10
6 	5-6	30
7 	5-7	8
8 	5-8	15
9 	5-9	8
10 	5-10	28
Routing table for Node Id 5 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	16
3 	5-3	6
4 	5-4	9
6 	5-7-6	10
7 	5-7	6
8 	5-8	12
9 	5-9	8
10 	5-1-10	8
Routing table for Node Id 5 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	14
3 	5-3	6
4 	5-4	3
6 	5-1-6	5
7 	5-7	4
8 	5-8	13
9 	5-9	5
10 	5-1-10	6
Routing table for Node Id 5 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	14
3 	5-3	5
4 	5-4	10
6 	5-7-6	6
7 	5-7	4
8 	5-8	13
9 	5-9	5
10 	5-1-10	8
Routing table for Node Id 5 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	15
3 	5-3	7
4 	5-4	6
6 	5-1-6	5
7 	5-7	8
8 	5-8	15
9 	5-9	8
10 	5-1-10	6
Routing table for Node Id 5 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-8-2	19
3 	5-3	8
4 	5-4	9
6 	5-7-6	7
7 	5-7	5
8 	5-8	11
9 	5-9	3
10 	5-1-10	7
Routing table for Node Id 5 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	13
3 	5-3	4
4 	5-4	8
6 	5-7-6	8
7 	5-7	4
8 	5-8	11
9 	5-9	4
10 	5-1-10	7
Routing table for Node Id 5 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	5
2 	5-3-2	17
3 	5-3	8
4 	5-4	10
6 	5-1-6	8
7 	5-7	6
8 	5-8	12
9 	5-9	3
10 	5-1-10	7
Routing table for Node Id 5 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-8-2	20
3 	5-3	6
4 	5-4	9
6 	5-7-6	10
7 	5-7	4
8 	5-8	12
9 	5-9	5
10 	5-1-10	8
Routing table for Node Id 5 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	15
3 	5-3	5
4 	5-4	4
6 	5-1-6	12
7 	5-7	5
8 	5-8	13
9 	5-9	6
10 	5-1-10	7
Routing table for Node Id 5 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-8-2	18
3 	5-3	7
4 	5-4	7
6 	5-1-6	11
7 	5-7	6
8 	5-8	11
9 	5-9	7
10 	5-1-10	6
Routing table for Node Id 5 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	15
3 	5-3	7
4 	5-4	8
6 	5-1-6	11
7 	5-7	8
8 	5-8	12
9 	5-9	3
10 	5-1-10	6
Routing table for Node Id 5 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	18
3 	5-3	4
4 	5-4	10
6 	5-1-6	9
7 	5-7	4
8 	5-8	14
9 	5-9	6
10 	5-1-10	6
Routing table for Node Id 5 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	17
3 	5-3	5
4 	5-4	7
6 	5-7-6	5
7 	5-7	2
8 	5-8	11
9 	5-9	5
10 	5-1-10	7
Routing table for Node Id 5 Time = 280 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	16
3 	5-3	8
4 	5-4	3
6 	5-1-6	10
7 	5-7	6
8 	5-8	12
9 	5-9	4
10 	5-1-10	6
Routing table for Node Id 5 Time = 300 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	16
3 	5-3	8
4 	5-4	4
6 	5-1-6	9
7 	5-7	8
8 	5-8	12
9 	5-9	5
10 	5-1-10	7
Routing table for Node Id 5 Time = 320 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	20
3 	5-3	6
4 	5-4	8
6 	5-1-6	9
7 	5-7	4
8 	5-8	13
9 	5-9	3
10 	5-1-10	8
Routing table for Node Id 5 Time = 340 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	19
3 	5-3	6
4 	5-4	6
6 	5-1-6	8
7 	5-7	7
8 	5-8	10
9 	5-9	3
10 	5-1-10	6
Routing table for Node Id 5 Time = 360 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	3
2 	5-3-2	17
3 	5-3	6
4 	5-4	6
6 	5-1-6	7
7 	5-7	7
8 	5-8	15
9 	5-9	6
10 	5-1-10	5
Routing table for Node Id 5 Time = 380 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	5
2 	5-3-2	17
3 	5-3	6
4 	5-4	7
6 	5-1-6	13
7 	5-7	6
8 	5-8	15
9 	5-9	8
10 	5-1-10	9
Routing table for Node Id 5 Time = 400 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	5
2 	5-3-2	19
3 	5-3	6
4 	5-4	10
6 	5-1-6	7
7 	5-7	5
8 	5-8	14
9 	5-9	5
10 	5-1-10	9
Routing table for Node Id 5 Time = 420 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	5
2 	5-3-2	19
3 	5-3	7
4 	5-4	7
6 	5-7-6	11
7 	5-7	7
8 	5-8	13
9 	5-9	8
10 	5-1-10	9
Routing table for Node Id 5 Time = 440 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	4
2 	5-3-2	19
3 	5-3	8
4 	5-4	7
6 	5-7-6	7
7 	5-7	3
8 	5-8	15
9 	5-9	7
10 	5-1-10	8
Routing table for Node Id 5 Time = 460 seconds
 Destination 	 Path 	 Cost
0 	5-0	2
1 	5-1	2
2 	5-8-2	17
3 	5-3	7
4 	5-4	10
6 	5-1-6	8
7 	5-7	4
8 	5-8	10
9 	5-9	4
10 	5-1-10	6
