Routing table for Node Id 9 Time = 0 seconds
 Destination 	 Path 	 Cost
 Destination 	 Path 	 Cost
0 	9-5-0	5
1 	9-5-1	5
2 	9-5-8-2	21
3 	9-5-3	11
4 	9-5-4	8
5 	9-5	3
6 	9-5-1-6	12
7 	9-5-7	10
8 	9-5-8	13
10 	9-5-1-10	9
Routing table for Node Id 9 Time = 440 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	7
1 	9-5-1	10
2 	9-5-3-2	23
3 	9-5-3	12
4 	9-5-4	11
5 	9-5	5
6 	9-5-7-6	14
7 	9-5-7	10
8 	9-5-8	20
10 	9-5-1-10	14
Routing table for Node Id 9 Time = 460 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	10
1 	9-5-1	13
2 	9-5-8-2	25
3 	9-5-3	15
4 	9-4	6
5 	9-5	8
6 	9-5-1-6	19
7 	9-5-7	16
8 	9-5-8	18
10 	9-5-1-10	17
