Routing table for Node Id 9 Time = 0 seconds
 Destination 	 Path 	 Cost
4 	9-4	15
5 	9-5	3
Routing table for Node Id 9 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	8
2 	9-5-3-2	21
3 	9-5-3	11
4 	9-4	10
5 	9-5	4
6 	9-5-7-6	14
7 	9-5-7	11
8 	9-5-8	17
10 	9-5-1-10	12
Routing table for Node Id 9 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	10
1 	9-5-1	12
2 	9-5-3-2	26
3 	9-5-3	12
4 	9-4	12
5 	9-5	8
6 	9-5-1-6	14
7 	9-5-7	13
8 	9-5-8	20
10 	9-5-1-10	15
Routing table for Node Id 9 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	8
2 	9-5-3-2	21
3 	9-5-3	12
4 	9-5-4	8
5 	9-5	4
6 	9-5-1-6	16
7 	9-5-7	8
8 	9-5-8	14
10 	9-5-1-10	12
Routing table for Node Id 9 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	6
2 	9-5-3-2	17
3 	9-5-3	9
4 	9-5-4	11
5 	9-5	4
6 	9-5-1-6	8
7 	9-5-7	10
8 	9-5-8	15
10 	9-5-1-10	9
Routing table for Node Id 9 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	7
1 	9-5-1	10
2 	9-5-8-2	24
3 	9-5-3	10
4 	9-5-4	8
5 	9-5	5
6 	9-5-1-6	16
7 	9-5-7	11
8 	9-5-8	16
10 	9-5-1-10	13
Routing table for Node Id 9 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	8
1 	9-5-1	9
2 	9-5-3-2	20
3 	9-5-3	11
4 	9-5-4	12
5 	9-5	6
6 	9-5-7-6	16
7 	9-5-7	14
8 	9-5-8	17
10 	9-5-1-10	12
Routing table for Node Id 9 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	9
2 	9-5-3-2	17
3 	9-5-3	8
4 	9-4	8
5 	9-5	4
6 	9-5-1-6	12
7 	9-5-7	8
8 	9-5-8	16
10 	9-5-1-10	11
Routing table for Node Id 9 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	7
1 	9-5-1	7
2 	9-5-8-2	24
3 	9-5-3	13
4 	9-4	7
5 	9-5	5
6 	9-5-1-6	14
7 	9-5-7	10
8 	9-5-8	16
10 	9-5-1-10	11
Routing table for Node Id 9 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	8
2 	9-5-3-2	21
3 	9-5-3	11
4 	9-4	7
5 	9-5	4
6 	9-5-1-6	16
7 	9-5-7	12
8 	9-5-8	18
10 	9-5-1-10	11
Routing table for Node Id 9 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	7
1 	9-5-1	9
2 	9-5-3-2	22
3 	9-5-3	9
4 	9-4	9
5 	9-5	5
6 	9-5-7-6	15
7 	9-5-7	10
8 	9-5-8	16
10 	9-5-1-10	11
Routing table for Node Id 9 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	9
1 	9-5-1	10
2 	9-5-3-2	22
3 	9-5-3	14
4 	9-4	7
5 	9-5	7
6 	9-5-1-6	17
7 	9-5-7	15
8 	9-5-8	19
10 	9-5-1-10	12
Routing table for Node Id 9 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	6
2 	9-5-3-2	24
3 	9-5-3	10
4 	9-5-4	13
5 	9-5	4
6 	9-5-1-6	12
7 	9-5-7	10
8 	9-5-8	18
10 	9-5-1-10	9
Routing table for Node Id 9 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	5
1 	9-5-1	6
2 	9-5-3-2	20
3 	9-5-3	8
4 	9-5-4	9
5 	9-5	3
6 	9-5-1-6	10
7 	9-5-7	7
8 	9-5-8	18
10 	9-5-1-10	10
Routing table for Node Id 9 Time = 280 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	5
1 	9-5-1	7
2 	9-5-3-2	19
3 	9-5-3	11
4 	9-4	6
5 	9-5	3
6 	9-5-1-6	14
7 	9-5-7	10
8 	9-5-8	16
10 	9-5-1-10	10
Routing table for Node Id 9 Time = 300 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	7
2 	9-5-3-2	20
3 	9-5-3	12
4 	9-4	7
5 	9-5	4
6 	9-5-1-6	12
7 	9-5-7	9
8 	9-5-8	17
10 	9-5-1-10	10
Routing table for Node Id 9 Time = 320 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	9
1 	9-5-1	11
2 	9-5-3-2	27
3 	9-5-3	13
4 	9-4	5
5 	9-5	7
6 	9-5-1-6	16
7 	9-5-7	12
8 	9-5-8	19
10 	9-5-1-10	15
Routing table for Node Id 9 Time = 340 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	6
1 	9-5-1	6
2 	9-5-3-2	21
3 	9-5-3	8
4 	9-5-4	12
5 	9-5	4
6 	9-5-1-6	10
7 	9-5-7	8
8 	9-5-8	16
10 	9-5-1-10	8
Routing table for Node Id 9 Time = 360 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	10
1 	9-5-1	13
2 	9-5-3-2	25
3 	9-5-3	14
4 	9-4	6
5 	9-5	8
6 	9-5-1-6	17
7 	9-5-7	12
8 	9-5-8	20
10 	9-5-1-10	15
Routing table for Node Id 9 Time = 380 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	9
1 	9-5-1	9
2 	9-5-3-2	22
3 	9-5-3	11
4 	9-4	6
5 	9-5	7
6 	9-5-1-6	17
7 	9-5-7	15
8 	9-5-8	19
10 	9-5-1-10	13
Routing table for Node Id 9 Time = 400 seconds
 Destination 	 Path 	 Cost
0 	9-5-0	5
1 	9-5-1	8
2 	9-5-3-2	20
3 	9-5-3	7
4 	9-4	10
5 	9-5	3
6 	9-5-1-6	10
7 	9-5-7	5
8 	9-5-8	14
10 	9-5-1-10	12
Routing table for Node Id 9 Time = 420 seconds
