Routing table for Node Id 10 Time = 0 seconds
 Destination 	 Path 	 Cost
1 	10-1	4
5 	10-5	24
Routing table for Node Id 10 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	3
2 	10-1-5-3-2	24
3 	10-1-5-3	14
4 	10-1-5-4	15
5 	10-1-5	7
6 	10-1-6	11
7 	10-1-5-7	14
8 	10-1-5-8	20
9 	10-1-5-9	10
Routing table for Node Id 10 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	8
1 	10-1	2
2 	10-1-5-3-2	24
3 	10-1-5-3	10
4 	10-1-5-4	14
5 	10-1-5	6
6 	10-1-6	4
7 	10-1-6-7	8
8 	10-1-5-8	18
9 	10-1-5-9	10
Routing table for Node Id 10 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	8
1 	10-1	2
2 	10-1-5-3-2	23
3 	10-1-5-3	14
4 	10-1-5-4	10
5 	10-1-5	6
6 	10-1-6	10
7 	10-1-5-7	10
8 	10-1-5-8	16
9 	10-1-5-9	11
Routing table for Node Id 10 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	7
1 	10-1	2
2 	10-1-5-3-2	18
3 	10-1-5-3	10
4 	10-1-5-4	12
5 	10-1-5	5
6 	10-1-6	4
7 	10-1-6-7	7
8 	10-1-5-8	16
9 	10-1-5-9	12
Routing table for Node Id 10 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	4
2 	10-1-5-8-2	26
3 	10-1-5-3	12
4 	10-1-5-4	10
5 	10-1-5	7
6 	10-1-6	10
7 	10-1-6-7	12
8 	10-1-5-8	18
9 	10-1-5-9	11
Routing table for Node Id 10 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	2
2 	10-1-5-3-2	21
3 	10-1-5-3	12
4 	10-1-5-4	13
5 	10-1-5	7
6 	10-1-6	10
7 	10-1-5-7	15
