Routing table for Node Id 10 Time = 0 seconds
 Destination 	 Path 	 Cost
8 	10-1-5-8	18
9 	10-1-5-9	14
Routing table for Node Id 10 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	8
1 	10-1	2
2 	10-1-5-3-2	19
3 	10-1-5-3	10
4 	10-1-5-4	10
5 	10-1-5	6
6 	10-1-6	5
7 	10-1-5-7	10
8 	10-1-5-8	18
9 	10-1-5-9	9
Routing table for Node Id 10 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	2
2 	10-1-5-8-2	26
3 	10-1-5-3	15
4 	10-1-5-4	11
5 	10-1-5	7
6 	10-1-6	9
7 	10-1-5-7	12
8 	10-1-5-8	18
9 	10-1-5-9	15
Routing table for Node Id 10 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	7
1 	10-1	2
2 	10-1-5-3-2	22
3 	10-1-5-3	12
4 	10-1-5-4	11
5 	10-1-5	5
6 	10-1-6	10
7 	10-1-5-7	13
8 	10-1-5-8	19
9 	10-1-5-9	12
Routing table for Node Id 10 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	10
1 	10-1	4
2 	10-1-5-3-2	25
3 	10-1-5-3	12
4 	10-1-5-4	12
5 	10-1-5	8
6 	10-1-6	11
7 	10-1-5-7	13
8 	10-1-5-8	19
9 	10-1-5-9	14
Routing table for Node Id 10 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	11
1 	10-1	4
2 	10-1-5-3-2	24
3 	10-1-5-3	16
4 	10-1-5-4	15
5 	10-1-5	9
6 	10-1-6	11
7 	10-1-5-7	17
8 	10-1-5-8	21
9 	10-1-5-9	15
Routing table for Node Id 10 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	7
1 	10-1	2
2 	10-1-5-3-2	25
3 	10-1-5-3	11
4 	10-1-5-4	14
5 	10-1-5	5
6 	10-1-6	8
7 	10-1-6-7	10
8 	10-1-5-8	19
9 	10-1-5-9	9
Routing table for Node Id 10 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	6
1 	10-1	2
2 	10-1-5-3-2	21
3 	10-1-5-3	9
4 	10-1-5-4	10
5 	10-1-5	4
6 	10-1-6	6
7 	10-1-5-7	8
8 	10-1-5-8	19
9 	10-1-5-9	12
Routing table for Node Id 10 Time = 280 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	6
1 	10-1	2
2 	10-1-5-3-2	20
3 	10-1-5-3	12
4 	10-1-5-4	10
5 	10-1-5	4
6 	10-1-6	9
7 	10-1-5-7	11
8 	10-1-5-8	17
9 	10-1-5-9	8
Routing table for Node Id 10 Time = 300 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	7
1 	10-1	3
2 	10-1-5-3-2	21
3 	10-1-5-3	13
4 	10-1-5-4	8
5 	10-1-5	5
6 	10-1-6	8
7 	10-1-5-7	10
8 	10-1-5-8	18
9 	10-1-5-9	9
Routing table for Node Id 10 Time = 320 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	8
1 	10-1	4
2 	10-1-5-3-2	26
3 	10-1-5-3	12
4 	10-1-5-4	16
5 	10-1-5	6
6 	10-1-6	9
7 	10-1-5-7	11
8 	10-1-5-8	18
9 	10-1-5-9	14
Routing table for Node Id 10 Time = 340 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	3
2 	10-1-5-3-2	24
3 	10-1-5-3	11
4 	10-1-5-4	15
5 	10-1-5	7
6 	10-1-6	7
7 	10-1-5-7	11
8 	10-1-5-8	19
9 	10-1-5-9	13
Routing table for Node Id 10 Time = 360 seconds
 Destination 	 Path 	 Cost
0 	10-1-5-0	9
1 	10-1	2
2 	10-1-5-3-2	24
3 	10-1-5-3	13
4 	10-1-5-4	10
5 	10-1-5	7
6 	10-1-6	6
7 	10-1-5-7	11
8 	10-1-5-8	19
9 	10-1-5-9	10
