Routing table for Node Id 8 Time = 0 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	12
1 	8-5-1	15
2 	8-2	9
3 	8-5-3	18
4 	8-5-4	20
5 	8-5	10
6 	8-5-6	40
7 	8-5-7	18
9 	8-5-9	18
10 	8-5-10	38
Routing table for Node Id 8 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	14
1 	8-5-1	16
2 	8-2	7
3 	8-2-3	19
4 	8-5-4	20
5 	8-5	12
6 	8-5-7-6	23
7 	8-5-7	19
9 	8-5-9	15
10 	8-5-1-10	20
Routing table for Node Id 8 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	13
1 	8-5-1	15
2 	8-2	7
3 	8-5-3	15
4 	8-5-4	19
5 	8-5	11
6 	8-5-1-6	17
7 	8-5-7	16
9 	8-5-9	15
10 	8-5-1-10	18
Routing table for Node Id 8 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	15
1 	8-5-1	17
2 	8-2	7
3 	8-2-3	16
4 	8-5-4	17
5 	8-5	13
6 	8-5-7-6	19
7 	8-5-7	17
9 	8-5-9	18
10 	8-5-1-10	21
Routing table for Node Id 8 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	13
1 	8-5-1	13
2 	8-2	8
3 	8-5-3	16
4 	8-5-4	18
5 	8-5	11
6 	8-5-1-6	15
7 	8-5-7	17
9 	8-5-9	18
10 	8-5-1-10	16
Routing table for Node Id 8 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	17
1 	8-5-1	20
2 	8-2	7
3 	8-2-3	16
4 	8-5-4	18
5 	8-5	15
6 	8-5-7-6	23
7 	8-5-7	21
9 	8-5-9	19
10 	8-5-1-10	23
Routing table for Node Id 8 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	14
1 	8-5-1	15
2 	8-2	9
3 	8-5-3	17
4 	8-5-4	18
5 	8-5	12
6 	8-5-1-6	23
7 	8-5-7	20
9 	8-5-9	19
10 	8-5-1-10	18
Routing table for Node Id 8 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	8-5-0	14
1 	8-5-1	17
2 	8-2	9
3 	8-5-3	16
4 	8-5-4	16
5 	8-5	12
6 	8-5-7-6	20
7 	8-5-7	16
9 	8-5-9	15
10 	8-5-1-10	19
