Routing table for Node Id 6 Time = 0 seconds
 Destination 	 Path 	 Cost
1 	6-1	2
5 	6-5	20
7 	6-7	10
Routing table for Node Id 6 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	12
1 	6-1	6
2 	6-1-5-3-2	27
3 	6-1-5-3	17
4 	6-1-5-4	18
5 	6-1-5	10
7 	6-7	10
8 	6-1-5-8	23
9 	6-1-5-9	13
10 	6-1-10	10
Routing table for Node Id 6 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	11
1 	6-1	5
2 	6-1-5-3-2	27
3 	6-1-5-3	13
4 	6-7-4	15
5 	6-1-5	9
7 	6-7	3
8 	6-1-5-8	21
9 	6-1-5-9	13
10 	6-1-10	8
Routing table for Node Id 6 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	2
2 	6-1-5-3-2	23
3 	6-1-5-3	14
4 	6-1-5-4	10
5 	6-1-5	6
7 	6-7	5
8 	6-1-5-8	16
9 	6-1-5-9	11
10 	6-1-10	6
Routing table for Node Id 6 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	6-7-5-0	10
1 	6-1	7
2 	6-7-5-3-2	21
3 	6-7-5-3	13
4 	6-7-4	15
5 	6-7-5	8
7 	6-7	5
8 	6-7-5-8	19
9 	6-7-5-9	15
10 	6-1-10	10
Routing table for Node Id 6 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	3
2 	6-1-5-8-2	25
3 	6-1-5-3	11
4 	6-1-5-4	9
5 	6-1-5	6
7 	6-7	4
8 	6-1-5-8	17
9 	6-1-5-9	10
10 	6-1-10	6
Routing table for Node Id 6 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	11
1 	6-1	4
2 	6-1-5-3-2	23
3 	6-1-5-3	14
4 	6-1-5-4	15
5 	6-1-5	9
7 	6-7	8
8 	6-1-5-8	20
9 	6-1-5-9	16
10 	6-1-10	7
Routing table for Node Id 6 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	2
2 	6-1-5-3-2	19
3 	6-1-5-3	10
4 	6-1-5-4	10
5 	6-1-5	6
7 	6-7	9
8 	6-1-5-8	18
9 	6-1-5-9	9
10 	6-1-10	4
Routing table for Node Id 6 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	6-7-5-0	11
1 	6-1	6
2 	6-7-5-8-2	28
3 	6-7-5-3	17
4 	6-7-5-4	13
5 	6-7-5	9
7 	6-7	3
8 	6-7-5-8	20
9 	6-7-5-9	17
10 	6-1-10	10
Routing table for Node Id 6 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	3
2 	6-1-5-3-2	23
3 	6-1-5-3	13
4 	6-1-5-4	12
5 	6-1-5	6
7 	6-7	8
8 	6-1-5-8	20
9 	6-1-5-9	13
10 	6-1-10	6
Routing table for Node Id 6 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	12
1 	6-1	6
2 	6-1-5-3-2	27
3 	6-1-5-3	14
4 	6-1-5-4	14
5 	6-1-5	10
7 	6-7	10
8 	6-1-5-8	21
9 	6-1-5-9	16
10 	6-1-10	8
Routing table for Node Id 6 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	6-7-5-0	12
1 	6-1	6
2 	6-7-5-3-2	25
3 	6-7-5-3	17
4 	6-7-5-4	16
5 	6-7-5	10
7 	6-7	4
8 	6-7-5-8	22
9 	6-7-5-9	16
10 	6-1-10	8
Routing table for Node Id 6 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	3
2 	6-1-5-3-2	26
3 	6-1-5-3	12
4 	6-1-5-4	15
5 	6-1-5	6
7 	6-7	3
8 	6-1-5-8	20
9 	6-1-5-9	10
10 	6-1-10	6
Routing table for Node Id 6 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	10
1 	6-1	6
2 	6-1-5-3-2	25
3 	6-1-5-3	13
4 	6-1-5-4	14
5 	6-1-5	8
7 	6-7	7
8 	6-1-5-8	23
9 	6-1-5-9	16
10 	6-1-10	10
Routing table for Node Id 6 Time = 280 seconds
 Destination 	 Path 	 Cost
0 	6-7-5-0	6
1 	6-1	8
2 	6-7-5-3-2	20
3 	6-7-5-3	12
4 	6-7-5-4	10
5 	6-7-5	4
7 	6-7	2
8 	6-7-5-8	17
9 	6-7-5-9	8
10 	6-1-10	11
Routing table for Node Id 6 Time = 300 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	10
1 	6-1	6
2 	6-1-5-3-2	24
3 	6-1-5-3	16
4 	6-1-5-4	11
5 	6-1-5	8
7 	6-7	5
8 	6-1-5-8	21
9 	6-1-5-9	12
10 	6-1-10	9
Routing table for Node Id 6 Time = 320 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	12
1 	6-1	8
2 	6-1-5-3-2	30
3 	6-1-5-3	16
4 	6-1-5-4	20
5 	6-1-5	10
7 	6-7	4
8 	6-1-5-8	22
9 	6-1-5-9	18
10 	6-1-10	12
Routing table for Node Id 6 Time = 340 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	2
2 	6-1-5-3-2	23
3 	6-1-5-3	10
4 	6-1-5-4	14
5 	6-1-5	6
7 	6-7	9
8 	6-1-5-8	18
9 	6-1-5-9	12
10 	6-1-10	4
Routing table for Node Id 6 Time = 360 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	10
1 	6-1	3
2 	6-1-5-3-2	25
3 	6-1-5-3	14
4 	6-1-5-4	11
5 	6-1-5	8
7 	6-7	10
8 	6-1-5-8	20
9 	6-1-5-9	11
10 	6-1-10	5
Routing table for Node Id 6 Time = 380 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	10
1 	6-1	3
2 	6-1-5-3-2	23
3 	6-1-5-3	12
4 	6-1-5-4	14
5 	6-1-5	8
7 	6-7	4
8 	6-1-5-8	20
9 	6-1-5-9	13
10 	6-1-10	7
Routing table for Node Id 6 Time = 400 seconds
 Destination 	 Path 	 Cost
0 	6-7-5-0	7
1 	6-1	8
2 	6-7-5-3-2	22
3 	6-7-5-3	9
4 	6-7-5-4	14
5 	6-7-5	5
7 	6-7	3
8 	6-7-5-8	16
9 	6-7-5-9	12
10 	6-1-10	12
Routing table for Node Id 6 Time = 420 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	11
1 	6-1	5
2 	6-1-5-8-2	27
3 	6-1-5-3	17
4 	6-1-5-4	14
5 	6-1-5	9
7 	6-7	10
8 	6-1-5-8	19
9 	6-1-5-9	14
10 	6-1-10	9
Routing table for Node Id 6 Time = 440 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	9
1 	6-1	4
2 	6-1-5-3-2	25
3 	6-1-5-3	14
4 	6-1-5-4	13
5 	6-1-5	7
7 	6-7	8
8 	6-1-5-8	22
9 	6-1-5-9	12
10 	6-1-10	8
Routing table for Node Id 6 Time = 460 seconds
 Destination 	 Path 	 Cost
0 	6-1-5-0	8
1 	6-1	4
2 	6-1-5-8-2	23
3 	6-1-5-3	13
4 	6-1-5-4	15
5 	6-1-5	6
7 	6-7	10
8 	6-1-5-8	16
9 	6-1-5-9	11
10 	6-1-10	8
