Routing table for Node Id 2 Time = 0 seconds
 Destination 	 Path 	 Cost
3 	2-3	8
5 	2-5	40
8 	2-8	7
Routing table for Node Id 2 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	2-8-5-0	20
1 	2-8-5-1	22
3 	2-3	12
4 	2-8-5-4	26
5 	2-8-5	18
6 	2-8-5-7-6	28
7 	2-8-5-7	25
8 	2-8	8
9 	2-8-5-9	21
10 	2-8-5-1-10	26
Routing table for Node Id 2 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	19
1 	2-3-5-1	21
3 	2-3	13
4 	2-3-5-4	25
5 	2-3-5	17
6 	2-3-5-1-6	23
7 	2-3-5-7	22
8 	2-8	9
9 	2-3-5-9	21
10 	2-3-5-1-10	24
Routing table for Node Id 2 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	17
1 	2-3-5-1	19
3 	2-3	9
4 	2-3-5-4	19
5 	2-3-5	15
6 	2-3-5-1-6	27
7 	2-3-5-7	19
8 	2-8	7
9 	2-3-5-9	20
10 	2-3-5-1-10	23
Routing table for Node Id 2 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	23
1 	2-3-5-1	23
3 	2-3	15
4 	2-3-5-4	28
5 	2-3-5	21
6 	2-3-5-1-6	25
7 	2-3-5-7	27
8 	2-8	7
9 	2-3-5-9	28
10 	2-3-5-1-10	26
Routing table for Node Id 2 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	21
1 	2-3-5-1	24
3 	2-3	15
4 	2-3-5-4	22
5 	2-3-5	19
6 	2-3-5-1-6	30
7 	2-3-5-7	25
8 	2-8	7
9 	2-3-5-9	23
10 	2-3-5-1-10	27
Routing table for Node Id 2 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	20
1 	2-3-5-1	21
3 	2-3	13
4 	2-3-5-4	24
5 	2-3-5	18
6 	2-3-5-7-6	28
7 	2-3-5-7	26
8 	2-8	7
9 	2-3-5-9	25
10 	2-3-5-1-10	24
