Routing table for Node Id 2 Time = 0 seconds
 Destination 	 Path 	 Cost
Routing table for Node Id 2 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	2-8-5-0	19
1 	2-8-5-1	22
3 	2-3	12
4 	2-8-5-4	21
5 	2-8-5	17
6 	2-8-5-1-6	25
7 	2-8-5-7	21
8 	2-8	7
9 	2-8-5-9	20
10 	2-8-5-1-10	24
Routing table for Node Id 2 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	18
1 	2-3-5-1	18
3 	2-3	12
4 	2-3-5-4	20
5 	2-3-5	16
6 	2-3-5-1-6	25
7 	2-3-5-7	21
8 	2-8	9
9 	2-3-5-9	24
10 	2-3-5-1-10	22
Routing table for Node Id 2 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	17
1 	2-3-5-1	19
3 	2-3	10
4 	2-3-5-4	21
5 	2-3-5	15
6 	2-3-5-1-6	27
7 	2-3-5-7	23
8 	2-8	7
9 	2-3-5-9	22
10 	2-3-5-1-10	22
Routing table for Node Id 2 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	20
1 	2-3-5-1	22
3 	2-3	13
4 	2-3-5-4	22
5 	2-3-5	18
6 	2-3-5-7-6	28
7 	2-3-5-7	23
8 	2-8	8
9 	2-3-5-9	24
10 	2-3-5-1-10	24
Routing table for Node Id 2 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	14
1 	2-3-5-1	15
3 	2-3	8
4 	2-3-5-4	18
5 	2-3-5	12
6 	2-3-5-1-6	22
7 	2-3-5-7	20
8 	2-8	9
9 	2-3-5-9	18
10 	2-3-5-1-10	17
Routing table for Node Id 2 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	16
1 	2-3-5-1	16
3 	2-3	10
4 	2-3-5-4	23
5 	2-3-5	14
6 	2-3-5-1-6	22
7 	2-3-5-7	20
8 	2-8	9
9 	2-3-5-9	18
10 	2-3-5-1-10	19
Routing table for Node Id 2 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	17
1 	2-3-5-1	18
3 	2-3	9
4 	2-3-5-4	21
5 	2-3-5	15
6 	2-3-5-1-6	22
7 	2-3-5-7	19
8 	2-8	9
9 	2-3-5-9	23
10 	2-3-5-1-10	22
Routing table for Node Id 2 Time = 280 seconds
 Destination 	 Path 	 Cost
0 	2-8-5-0	19
1 	2-8-5-1	21
3 	2-3	14
4 	2-8-5-4	23
5 	2-8-5	17
6 	2-8-5-1-6	28
7 	2-8-5-7	24
8 	2-8	7
9 	2-8-5-9	21
10 	2-8-5-1-10	24
Routing table for Node Id 2 Time = 300 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	20
1 	2-3-5-1	21
3 	2-3	14
4 	2-3-5-4	21
5 	2-3-5	18
6 	2-3-5-1-6	26
7 	2-3-5-7	23
8 	2-8	9
9 	2-3-5-9	22
10 	2-3-5-1-10	24
Routing table for Node Id 2 Time = 320 seconds
 Destination 	 Path 	 Cost
0 	2-8-5-0	22
1 	2-8-5-1	24
3 	2-3	13
4 	2-8-5-4	30
5 	2-8-5	20
6 	2-8-5-1-6	29
7 	2-8-5-7	25
8 	2-8	9
9 	2-8-5-9	28
10 	2-8-5-1-10	28
Routing table for Node Id 2 Time = 340 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	16
1 	2-3-5-1	16
3 	2-3	9
4 	2-3-5-4	22
5 	2-3-5	14
6 	2-3-5-1-6	20
7 	2-3-5-7	18
8 	2-8	8
9 	2-3-5-9	20
10 	2-3-5-1-10	18
Routing table for Node Id 2 Time = 360 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	15
1 	2-3-5-1	18
3 	2-3	9
4 	2-3-5-4	16
5 	2-3-5	13
6 	2-3-5-1-6	22
7 	2-3-5-7	17
8 	2-8	8
9 	2-3-5-9	16
10 	2-3-5-1-10	20
Routing table for Node Id 2 Time = 380 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	17
1 	2-3-5-1	17
3 	2-3	11
4 	2-3-5-4	21
5 	2-3-5	15
6 	2-3-5-1-6	25
7 	2-3-5-7	23
8 	2-8	8
9 	2-3-5-9	20
10 	2-3-5-1-10	21
Routing table for Node Id 2 Time = 400 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	21
1 	2-3-5-1	24
3 	2-3	12
4 	2-3-5-4	28
5 	2-3-5	19
6 	2-3-5-1-6	26
7 	2-3-5-7	21
8 	2-8	7
9 	2-3-5-9	26
10 	2-3-5-1-10	28
Routing table for Node Id 2 Time = 420 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	17
1 	2-3-5-1	17
3 	2-3	11
4 	2-3-5-4	20
5 	2-3-5	15
6 	2-3-5-1-6	24
7 	2-3-5-7	22
8 	2-8	7
9 	2-3-5-9	20
10 	2-3-5-1-10	21
Routing table for Node Id 2 Time = 440 seconds
 Destination 	 Path 	 Cost
0 	2-3-5-0	20
1 	2-3-5-1	23
3 	2-3	11
4 	2-3-5-4	24
5 	2-3-5	18
6 	2-3-5-7-6	27
7 	2-3-5-7	23
8 	2-8	9
9 	2-3-5-9	23
10 	2-3-5-1-10	27
Routing table for Node Id 2 Time = 460 seconds
 Destination 	 Path 	 Cost
0 	2-8-5-0	21
1 	2-8-5-1	24
3 	2-3	14
4 	2-8-5-4	28
5 	2-8-5	19
6 	2-8-5-1-6	30
7 	2-8-5-7	27
8 	2-8	8
9 	2-8-5-9	24
10 	2-8-5-1-10	28
