Routing table for Node Id 2 Time = 20.0162 seconds
 Destination 	 Path 	 Cost
0 	2-0	6
1 	2-1	4
3 	2-3	3
4 	2-6-4	7
5 	2-3-5	7
6 	2-6	3
7 	2-3-7	7
Routing table for Node Id 2 Time = 40.0186 seconds
 Destination 	 Path 	 Cost
0 	2-0	4
1 	2-1	5
3 	2-3	3
4 	2-1-4	9
5 	2-3-5	7
6 	2-6	5
7 	2-3-7	6
Routing table for Node Id 2 Time = 60.0209 seconds
 Destination 	 Path 	 Cost
0 	2-0	6
1 	2-1	4
3 	2-3	2
4 	2-6-4	5
5 	2-3-5	6
6 	2-6	3
7 	2-3-7	6
Routing table for Node Id 2 Time = 80.0239 seconds
 Destination 	 Path 	 Cost
0 	2-0	4
1 	2-1	5
3 	2-3	5
4 	2-6-4	7
5 	2-5	8
6 	2-6	3
7 	2-3-7	9
Routing table for Node Id 2 Time = 100.027 seconds
 Destination 	 Path 	 Cost
0 	2-0	6
1 	2-1	4
3 	2-3	4
4 	2-1-4	7
5 	2-3-5	10
6 	2-6	6
7 	2-3-7	8
Routing table for Node Id 2 Time = 120.029 seconds
 Destination 	 Path 	 Cost
0 	2-0	3
1 	2-1	4
3 	2-3	4
4 	2-1-4	8
5 	2-3-5	9
6 	2-6	4
7 	2-3-7	8
