Routing table for Node Id 3 Time = 20.0111 seconds
 Destination 	 Path 	 Cost
0 	3-2-0	6
1 	3-2-1	7
2 	3-2	3
4 	3-7-4	10
5 	3-5	4
6 	3-2-6	6
7 	3-7	3
Routing table for Node Id 3 Time = 40.0143 seconds
 Destination 	 Path 	 Cost
0 	3-0	7
1 	3-2-1	6
2 	3-2	2
4 	3-7-4	7
5 	3-5	7
6 	3-2-6	7
7 	3-7	4
Routing table for Node Id 3 Time = 60.0173 seconds
 Destination 	 Path 	 Cost
0 	3-1-0	4
1 	3-1	2
2 	3-2	5
4 	3-1-4	7
5 	3-5	9
6 	3-2-6	9
7 	3-7	4
Routing table for Node Id 3 Time = 80.0205 seconds
 Destination 	 Path 	 Cost
0 	3-0	6
1 	3-2-1	7
2 	3-2	2
4 	3-7-4	10
5 	3-5	6
6 	3-2-6	7
7 	3-7	4
Routing table for Node Id 3 Time = 100.024 seconds
 Destination 	 Path 	 Cost
0 	3-0	4
1 	3-0-1	6
2 	3-2	5
4 	3-7-4	8
5 	3-5	7
6 	3-2-6	10
7 	3-7	4
Routing table for Node Id 3 Time = 120.025 seconds
 Destination 	 Path 	 Cost
0 	3-0	7
1 	3-2-1	9
2 	3-2	5
4 	3-7-4	11
5 	3-5	8
6 	3-2-6	9
7 	3-7	3
