Routing table for Node Id 6 Time = 20.0252 seconds
 Destination 	 Path 	 Cost
0 	6-2-0	9
1 	6-4-1	7
2 	6-2	6
3 	6-3	11
4 	6-4	4
5 	6-4-5	10
7 	6-4-7	12
Routing table for Node Id 6 Time = 40.0279 seconds
 Destination 	 Path 	 Cost
0 	6-2-0	10
1 	6-4-1	8
2 	6-2	4
3 	6-2-3	7
4 	6-4	3
5 	6-2-3-5	11
7 	6-4-7	9
Routing table for Node Id 6 Time = 60.0309 seconds
 Destination 	 Path 	 Cost
0 	6-4-1-0	9
1 	6-4-1	7
2 	6-2	4
3 	6-4-7-3	8
4 	6-4	2
5 	6-4-5	8
7 	6-4-7	5
Routing table for Node Id 6 Time = 80.0345 seconds
 Destination 	 Path 	 Cost
0 	6-4-1-0	9
1 	6-4-1	5
2 	6-2	5
3 	6-4-7-3	9
4 	6-4	2
5 	6-4-5	7
7 	6-4-7	5
Routing table for Node Id 6 Time = 100.037 seconds
 Destination 	 Path 	 Cost
0 	6-2-0	8
1 	6-4-1	6
2 	6-2	4
3 	6-2-3	6
4 	6-4	2
5 	6-2-3-5	12
7 	6-4-7	7
Routing table for Node Id 6 Time = 120.04 seconds
 Destination 	 Path 	 Cost
0 	6-2-0	10
1 	6-4-1	9
2 	6-2	6
3 	6-3	11
4 	6-4	4
5 	6-4-5	14
7 	6-4-7	10
