Routing table for Node Id 4 Time = 20.0103 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	6
1 	4-1	3
2 	4-1-2	7
3 	4-1-3	9
5 	4-5	6
6 	4-6	4
7 	4-7	8
Routing table for Node Id 4 Time = 40.0133 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	7
1 	4-1	5
2 	4-6-2	7
3 	4-7-3	10
5 	4-5	12
6 	4-6	2
7 	4-7	6
Routing table for Node Id 4 Time = 60.0154 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	7
1 	4-1	5
2 	4-6-2	6
3 	4-7-3	6
5 	4-5	6
6 	4-6	2
7 	4-7	3
Routing table for Node Id 4 Time = 80.0187 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	7
1 	4-1	3
2 	4-1-2	8
3 	4-7-3	7
5 	4-5	5
6 	4-6	4
7 	4-7	3
Routing table for Node Id 4 Time = 100.022 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	9
1 	4-1	5
2 	4-6-2	5
3 	4-6-2-3	7
5 	4-5	12
6 	4-6	2
7 	4-7	8
Routing table for Node Id 4 Time = 120.024 seconds
 Destination 	 Path 	 Cost
0 	4-1-0	7
1 	4-1	4
2 	4-6-2	8
3 	4-7-3	10
5 	4-5	11
6 	4-6	3
7 	4-7	6
