Routing table for Node Id 5 Time = 20.0528 seconds
 Destination 	 Path 	 Cost
0 	5-2-0	12
1 	5-2-1	13
2 	5-2	9
3 	5-3	9
4 	5-4	10
6 	5-2-6	12
7 	5-3-7	13
Routing table for Node Id 5 Time = 40.0639 seconds
 Destination 	 Path 	 Cost
0 	5-3-0	11
1 	5-3-2-1	12
2 	5-3-2	8
3 	5-3	4
4 	5-4	10
6 	5-4-6	12
7 	5-3-7	7
Routing table for Node Id 5 Time = 60.0733 seconds
 Destination 	 Path 	 Cost
0 	5-3-0	11
1 	5-2-1	13
2 	5-2	9
3 	5-3	5
4 	5-4	11
6 	5-2-6	13
7 	5-3-7	9
Routing table for Node Id 5 Time = 80.0873 seconds
 Destination 	 Path 	 Cost
0 	5-3-0	8
1 	5-4-1	9
2 	5-3-2	7
3 	5-3	4
4 	5-4	6
6 	5-4-6	10
7 	5-3-7	8
Routing table for Node Id 5 Time = 100.107 seconds
 Destination 	 Path 	 Cost
0 	5-3-0	8
1 	5-3-2-1	11
2 	5-3-2	6
3 	5-3	4
4 	5-4	12
6 	5-3-2-6	11
7 	5-3-7	8
Routing table for Node Id 5 Time = 120.116 seconds
 Destination 	 Path 	 Cost
0 	5-2-0	14
1 	5-3-1	13
2 	5-2	10
3 	5-3	9
4 	5-4	9
6 	5-4-6	11
7 	5-3-7	13
