Routing table for Node Id 1 Time = 20.0121 seconds
 Destination 	 Path 	 Cost
0 	1-0	4
2 	1-2	5
3 	1-4-7-3	9
4 	1-4	3
5 	1-4-5	9
6 	1-4-6	5
7 	1-4-7	6
Routing table for Node Id 1 Time = 40.0143 seconds
 Destination 	 Path 	 Cost
0 	1-0	3
2 	1-2	5
3 	1-0-3	8
4 	1-4	5
5 	1-4-5	10
6 	1-4-6	8
7 	1-4-7	9
Routing table for Node Id 1 Time = 60.0177 seconds
 Destination 	 Path 	 Cost
0 	1-0	2
2 	1-2	5
3 	1-3	3
4 	1-4	3
5 	1-3-5	7
6 	1-4-6	6
7 	1-3-7	7
Routing table for Node Id 1 Time = 80.0207 seconds
 Destination 	 Path 	 Cost
0 	1-0	2
2 	1-2	5
3 	1-0-3	7
4 	1-4	3
5 	1-2-5	13
6 	1-4-6	6
7 	1-4-7	10
Routing table for Node Id 1 Time = 100.024 seconds
 Destination 	 Path 	 Cost
0 	1-0	5
2 	1-2	4
3 	1-2-3	6
4 	1-4	4
5 	1-2-3-5	12
6 	1-4-6	8
7 	1-4-7	9
Routing table for Node Id 1 Time = 120.025 seconds
 Destination 	 Path 	 Cost
0 	1-0	3
2 	1-2	4
3 	1-0-3	9
4 	1-4	4
5 	1-4-5	14
6 	1-4-6	6
7 	1-4-7	10
