Routing table for Node Id 2 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	2-0	1
1 	2-1	2
3 	2-3	2
4 	2-4	2
5 	2-5	3
6 	2-6	3
7 	2-7	6
Routing table for Node Id 2 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	2-0	1
1 	2-1	1
3 	2-3	2
4 	2-4	3
5 	2-1-5	2
6 	2-0-6	4
7 	2-0-7	5
Routing table for Node Id 2 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	2-1-0	2
1 	2-1	1
3 	2-3	3
4 	2-1-4	3
5 	2-5	4
6 	2-1-6	4
7 	2-1-7	3
Routing table for Node Id 2 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	2-0	2
1 	2-1	1
3 	2-3	3
4 	2-4	3
5 	2-5	2
6 	2-1-6	2
7 	2-7	4
Routing table for Node Id 2 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	2-0	1
1 	2-1	2
3 	2-3	2
4 	2-4	2
5 	2-5	4
6 	2-1-6	3
7 	2-7	6
Routing table for Node Id 2 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	2-0	1
1 	2-1	1
3 	2-3	2
4 	2-4	3
5 	2-5	3
6 	2-0-6	4
7 	2-1-7	2
